Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotions Director* Promotions Manager* VP Advertising* VP Promotions,"=""11-2011""",27.0,26.4,-0.6,-2.2,2.1,126960.0,Bachelor's degree,3,Less than 5 years,2,,6,11-2011,11,Advertising and promotions managers,Management,91.3,18.2,73.1
Desktop publishers    * DTP Operator* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist,"=""43-9031""",5.0,4.4,-0.6,-12.4,0.4,53620.0,Associate's degree,4,,4,Short-term on-the-job training,5,43-9031,43,Desktop publishers,Office & Administrative,90.0,24.6,65.4
"Legal support workers, all other    * Legal Technician","=""23-2099""",51.3,50.7,-0.6,-1.2,4.7,68760.0,Associate's degree,4,,4,,6,23-2099,23,"Legal support workers, all other",Legal,89.0,22.1,66.9
Database administrators    * Automatic Data Processing Planner* Database Administration Manager* Database Coordinator* Database Programmer* Database Security Administrator,"=""15-1242""",78.0,77.5,-0.5,-0.7,3.8,104620.0,Bachelor's degree,3,,4,,6,15-1242,15,Database administrators,Computer & Mathematical,94.3,33.0,61.3
Nuclear technicians    * Nuclear Monitoring Technician* Radiation Protection Technician* Radiochemical Technician,"=""19-4051""",6.0,5.5,-0.5,-7.7,0.7,104240.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4051,19,Nuclear technicians,"Life, Physical & Social Science",78.2,12.8,65.4
Survey researchers    * Pollster* Survey Methodologist* Survey Questionnaire Designer,"=""19-3022""",8.8,8.3,-0.5,-5.2,0.7,63380.0,Master's degree,2,,4,,6,19-3022,19,Survey researchers,"Life, Physical & Social Science",78.2,12.8,65.4
Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector,"=""33-3031""",7.0,6.6,-0.4,-6.0,0.5,68180.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,33-3031,33,Fish and game wardens,Protective Service,35.8,2.9,32.9
"Career/technical education teachers, middle school    * Junior High School Business Teacher* Middle School Technology Education Teacher","=""25-2023""",14.0,13.8,-0.3,-2.0,0.9,63620.0,Bachelor's degree,3,Less than 5 years,2,,6,25-2023,25,"Career/technical education teachers, middle school",Education & Training,72.8,11.5,61.3
Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert,"=""25-9021""",12.4,12.1,-0.3,-2.5,1.1,58120.0,Master's degree,2,,4,,6,25-9021,25,Farm and home management educators,Education & Training,72.8,11.5,61.3
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist","=""27-1013""",26.5,26.2,-0.3,-1.2,2.2,60560.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,27-1013,27,"Fine artists, including painters, sculptors, and illustrators","Arts, Design, Media & Sports",83.7,19.3,64.4
Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer,"=""17-2161""",15.4,15.3,-0.2,-1.1,0.8,127520.0,Bachelor's degree,3,,4,,6,17-2161,17,Nuclear engineers,Architecture & Engineering,84.8,14.7,70.1
Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher,"=""19-3094""",6.5,6.3,-0.2,-3.1,0.5,139380.0,Master's degree,2,,4,,6,19-3094,19,Political scientists,"Life, Physical & Social Science",78.2,12.8,65.4
Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk,"=""43-9111""",6.5,6.3,-0.2,-2.5,0.8,51440.0,Bachelor's degree,3,,4,,6,43-9111,43,Statistical assistants,Office & Administrative,90.0,24.6,65.4
"Teachers and instructors, all other    * Sunday School Teacher","=""25-3099""",153.8,153.5,-0.2,-0.1,18.0,64690.0,Bachelor's degree,3,,4,,6,25-3099,25,"Teachers and instructors, all other",Education & Training,72.8,11.5,61.3
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee","=""23-1021""",17.5,17.4,-0.1,-0.7,0.5,115230.0,Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5,23-1021,23,"Administrative law judges, adjudicators, and hearing officers",Legal,89.0,22.1,66.9
"History teachers, postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor","=""25-1125""",24.6,24.6,-0.1,-0.2,1.7,81500.0,Doctoral or professional degree,1,,4,,6,25-1125,25,"History teachers, postsecondary",Education & Training,72.8,11.5,61.3
Hydrologic technicians    * Groundwater Monitoring Technician,"=""19-4044""",3.1,3.0,-0.1,-2.1,0.4,58570.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4044,19,Hydrologic technicians,"Life, Physical & Social Science",78.2,12.8,65.4
Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative,"=""13-1075""",65.4,65.4,-0.1,-0.1,5.1,93500.0,Bachelor's degree,3,Less than 5 years,2,,6,13-1075,13,Labor relations specialists,Business & Financial,94.3,27.5,66.8
Music directors and composers    * Choir Director* Choirmaster* Chorus Master* Composer* Maestro* Music Adapter* Music Arranger* Music Copyist* Music Director* Music Minister* Music Pastor* Orchestra Conductor* Orchestra Director* Orchestrator* Songwriter,"=""27-2041""",47.3,47.2,-0.1,-0.3,4.3,63670.0,Bachelor's degree,3,Less than 5 years,2,,6,27-2041,27,Music directors and composers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader,"=""43-9081""",12.0,11.9,-0.1,-0.6,1.9,49210.0,Bachelor's degree,3,,4,,6,43-9081,43,Proofreaders and copy markers,Office & Administrative,90.0,24.6,65.4
Astronomers    * Astrophysicist* Cosmologist* Extragalactic Astronomer* Galactic Astronomer* High-energy Astrophysicist* Optical Astronomer* Planetary Astronomer* Radio Astronomer* Solar Astronomer* Stellar Astronomer* Theoretical Astronomer,"=""19-2011""",1.8,1.8,0.0,2.2,0.1,132170.0,Doctoral or professional degree,1,,4,,6,19-2011,19,Astronomers,"Life, Physical & Social Science",78.2,12.8,65.4
Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator,"=""11-3111""",20.9,20.9,0.0,0.2,1.5,140360.0,Bachelor's degree,3,5 years or more,1,,6,11-3111,11,Compensation and benefits managers,Management,91.3,18.2,73.1
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist","=""29-1029""",6.6,6.6,0.0,0.3,0.2,225770.0,Doctoral or professional degree,1,,4,Internship/residency,1,29-1029,29,"Dentists, all other specialists",Healthcare Practitioners,65.4,7.2,58.2
Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer,"=""39-4011""",3.6,3.7,0.0,1.3,0.6,56280.0,Associate's degree,4,,4,Long-term on-the-job training,3,39-4011,39,Embalmers,Personal Care & Service,28.5,2.1,26.4
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor","=""25-1123""",72.2,72.2,0.0,0.0,5.1,78270.0,Doctoral or professional degree,1,,4,,6,25-1123,25,"English language and literature teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Foreign language and literature teachers, postsecondary    * Arabic Professor* Biblical Languages Professor* Chinese Language Professor* French Professor* German Professor* Greek Professor* Hebrew Professor* Japanese Professor* Russian Language Professor* Spanish Literature Professor","=""25-1124""",26.4,26.4,0.0,-0.2,1.9,77010.0,Doctoral or professional degree,1,,4,,6,25-1124,25,"Foreign language and literature teachers, postsecondary",Education & Training,72.8,11.5,61.3
Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer,"=""19-3092""",1.5,1.5,0.0,-3.1,0.1,97200.0,Bachelor's degree,3,,4,,6,19-3092,19,Geographers,"Life, Physical & Social Science",78.2,12.8,65.4
Hydrologists    * Hydrogeologist* Isotope Hydrologist* Surface Hydrologist,"=""19-2043""",6.3,6.3,0.0,-0.1,0.5,92060.0,Bachelor's degree,3,,4,,6,19-2043,19,Hydrologists,"Life, Physical & Social Science",78.2,12.8,65.4
Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician,"=""15-2021""",2.4,2.4,0.0,-0.7,0.1,121680.0,Master's degree,2,,4,,6,15-2021,15,Mathematicians,Computer & Mathematical,94.3,33.0,61.3
Mechanical engineering technologists and technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Mechanical Engineering Technologist* Optomechanical Technician,"=""17-3027""",38.3,38.3,0.0,0.0,3.2,68730.0,Associate's degree,4,,4,,6,17-3027,17,Mechanical engineering technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer","=""17-2151""",7.0,7.0,0.0,0.7,0.4,101020.0,Bachelor's degree,3,,4,,6,17-2151,17,"Mining and geological engineers, including mining safety engineers",Architecture & Engineering,84.8,14.7,70.1
Pediatric surgeons    * Pediatric Neurosurgeon* Pediatric Vascular Surgeon,"=""29-1243""",1.1,1.1,0.0,1.5,0.0,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1243,29,Pediatric surgeons,Healthcare Practitioners,65.4,7.2,58.2
Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Reconstructive Dentist,"=""29-1024""",0.9,0.9,0.0,4.5,0.0,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1024,29,Prosthodontists,Healthcare Practitioners,65.4,7.2,58.2
Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,"=""17-2021""",1.7,1.8,0.1,5.9,0.1,84630.0,Bachelor's degree,3,,4,,6,17-2021,17,Agricultural engineers,Architecture & Engineering,84.8,14.7,70.1
Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman,"=""19-2021""",9.4,9.5,0.1,0.7,0.7,97450.0,Bachelor's degree,3,,4,,6,19-2021,19,Atmospheric and space scientists,"Life, Physical & Social Science",78.2,12.8,65.4
Environmental engineering technologists and technicians    * Air Analysis Engineering Technician* Environmental Engineering Technologist* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician,"=""17-3025""",12.9,13.0,0.1,1.2,1.1,58890.0,Associate's degree,4,,4,,6,17-3025,17,Environmental engineering technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
"Family and consumer sciences teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home Economics Professor* Home and Family Living Professor","=""25-1192""",3.2,3.3,0.1,3.4,0.2,77280.0,Doctoral or professional degree,1,,4,,6,25-1192,25,"Family and consumer sciences teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Forestry and conservation science teachers, postsecondary    * Ecology Professor* Environmental Conservation Professor* Forest Biometrics Professor* Forest Ecology Professor* Forest Management Professor* Forest Pathology Professor* Forest Resources Professor* Forest Technology Professor* Silviculture Professor* Timber Management Professor* Wildlife Conservation Professor","=""25-1043""",1.6,1.7,0.1,4.0,0.1,100830.0,Doctoral or professional degree,1,,4,,6,25-1043,25,"Forestry and conservation science teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Geography teachers, postsecondary    * Cartography Professor* GIS Professor* Geographic Information Systems Professor* Geomatics Professor","=""25-1064""",4.0,4.2,0.1,3.3,0.3,86730.0,Doctoral or professional degree,1,,4,,6,25-1064,25,"Geography teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Geological technicians, except hydrologic technicians    * Crude Tester* Geological Sample Tester* Geophysical Prospector* Magnetometer Operator* Mineral Technologist* Mining Technician* Mud Logger* Petroleum Technician* Seismic Interpreter* Seismic Observer* Seismograph Operator","=""19-4043""",9.8,10.0,0.1,1.5,1.3,48390.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4043,19,"Geological technicians, except hydrologic technicians","Life, Physical & Social Science",78.2,12.8,65.4
Historians    * Genealogist* Historiographer* Protohistorian,"=""19-3093""",3.4,3.5,0.1,2.2,0.3,74050.0,Master's degree,2,,4,,6,19-3093,19,Historians,"Life, Physical & Social Science",78.2,12.8,65.4
Sociologists    * Criminologist* Family Sociologist* Penologist* Rural Sociologist* Urban Sociologist,"=""19-3041""",3.4,3.6,0.1,3.6,0.3,101690.0,Master's degree,2,,4,,6,19-3041,19,Sociologists,"Life, Physical & Social Science",78.2,12.8,65.4
Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,"=""45-2011""",14.7,14.9,0.2,1.5,2.2,50990.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,45-2011,45,Agricultural inspectors,"Farming, Fishing & Forestry",15.7,1.2,14.5
Animal scientists    * Animal Geneticist* Animal Nutritionist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,"=""19-1011""",2.8,2.9,0.2,5.8,0.2,79120.0,Bachelor's degree,3,,4,,6,19-1011,19,Animal scientists,"Life, Physical & Social Science",78.2,12.8,65.4
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor","=""25-1061""",6.5,6.7,0.2,2.7,0.5,95770.0,Doctoral or professional degree,1,,4,,6,25-1061,25,"Anthropology and archeology teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor","=""25-1031""",11.6,11.9,0.2,2.0,0.9,101480.0,Doctoral or professional degree,1,,4,,6,25-1031,25,"Architecture teachers, postsecondary",Education & Training,72.8,11.5,61.3
Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist,"=""19-3011""",17.6,17.8,0.2,1.2,0.9,115440.0,Master's degree,2,,4,,6,19-3011,19,Economists,"Life, Physical & Social Science",78.2,12.8,65.4
Electro-mechanical and mechatronics technologists and technicians    * Electo-Mechanical and Mechatronics Technologist* Mechatronics Technician* Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician* Unmanned Aerial Vehicle Operator* Unmanned Air Systems Operator,"=""17-3024""",15.0,15.1,0.2,1.1,1.3,70760.0,Associate's degree,4,,4,,6,17-3024,17,Electro-mechanical and mechatronics technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,"=""19-1032""",13.8,14.0,0.2,1.2,1.1,70660.0,Bachelor's degree,3,,4,,6,19-1032,19,Foresters,"Life, Physical & Social Science",78.2,12.8,65.4
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor","=""25-1082""",5.1,5.3,0.2,3.0,0.4,78630.0,Doctoral or professional degree,1,,4,,6,25-1082,25,"Library science teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Mathematical science occupations, all other    * Harmonic Analyst* Mathematical Engineering Technician* Mathematics Technician","=""15-2099""",5.0,5.2,0.2,4.0,0.3,71490.0,Bachelor's degree,3,,4,,6,15-2099,15,"Mathematical science occupations, all other",Computer & Mathematical,94.3,33.0,61.3
Medical dosimetrists    * Certified Medical Dosimetrist* Qualified Medical Dosimetrist,"=""29-2036""",4.8,4.9,0.2,3.5,0.2,138110.0,Bachelor's degree,3,,4,,6,29-2036,29,Medical dosimetrists,Healthcare Practitioners,65.4,7.2,58.2
Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer,"=""17-2171""",19.6,19.8,0.2,1.3,1.2,141280.0,Bachelor's degree,3,,4,,6,17-2171,17,Petroleum engineers,Architecture & Engineering,84.8,14.7,70.1
"Philosophy and religion teachers, postsecondary    * Biblical Studies Professor* Divinity Professor* Eastern Philosophy Professor* Ethics Professor* Old Testament Professor* Pastoral Ministries Professor* Religious Studies Professor* Theology Professor* Western Philosophy Professor","=""25-1126""",27.3,27.5,0.2,0.7,2.0,78050.0,Doctoral or professional degree,1,,4,,6,25-1126,25,"Philosophy and religion teachers, postsecondary",Education & Training,72.8,11.5,61.3
